Project,Task,Contributor,Date,Duration in minutes
PROJ-001,Meeting,ACOGINT002,2025-06-11,90
PROJ-006,Meeting,ACOGINT001,2025-06-11,90
PROJ-002,Documentation,ACOGINT002,2025-06-11,74
PROJ-007,Bug Fixing,ACOGINT003,2025-06-11,101
PROJ-002,Meeting,ACOGINT003,2025-06-11,90
PROJ-001,Analysis,ACOGINT004,2025-06-11,135
PROJ-002,Bug Fixing,ACOGINT003,2025-06-11,70
PROJ-004,Development,ACOGINT005,2025-06-11,89
PROJ-005,Planning,ACOGINT002,2025-06-12,98
PROJ-002,Documentation,ACOGINT002,2025-06-12,149
PROJ-005,Design,ACOGINT005,2025-06-12,37
PROJ-001,Development,ACOGINT003,2025-06-12,270
PROJ-006,Design,ACOGINT004,2025-06-12,72
PROJ-001,Meeting,ACOGINT005,2025-06-12,60
PROJ-003,Meeting,ACOGINT005,2025-06-12,90
PROJ-001,Development,ACOGINT004,2025-06-12,95
PROJ-003,Design,ACOGINT001,2025-06-12,140
PROJ-003,Testing,ACOGINT005,2025-06-12,137
PROJ-004,Planning,ACOGINT002,2025-06-12,89
PROJ-006,Development,ACOGINT004,2025-06-12,108
PROJ-007,Bug Fixing,ACOGINT003,2025-06-12,51
PROJ-007,Testing,ACOGINT004,2025-06-14,63
PROJ-007,Development,ACOGINT002,2025-06-14,160
PROJ-004,Documentation,ACOGINT003,2025-06-15,92
PROJ-004,Meeting,ACOGINT002,2025-06-15,60
PROJ-005,Design,ACOGINT003,2025-06-15,109
PROJ-007,Code Review,ACOGINT005,2025-06-15,58
PROJ-002,Meeting,ACOGINT001,2025-06-15,30
PROJ-004,Code Review,ACOGINT002,2025-06-15,95
PROJ-002,Code Review,ACOGINT005,2025-06-15,105
PROJ-005,Testing,ACOGINT002,2025-06-15,52
PROJ-001,Bug Fixing,ACOGINT001,2025-06-15,107
PROJ-001,Design,ACOGINT004,2025-06-15,99
PROJ-001,Planning,ACOGINT001,2025-06-16,137
PROJ-001,Testing,ACOGINT003,2025-06-16,39
PROJ-004,Analysis,ACOGINT005,2025-06-16,194
PROJ-001,Documentation,ACOGINT002,2025-06-16,84
PROJ-006,Development,ACOGINT004,2025-06-16,225
PROJ-006,Design,ACOGINT001,2025-06-16,58
PROJ-007,Documentation,ACOGINT003,2025-06-16,111
PROJ-003,Documentation,ACOGINT003,2025-06-16,32
PROJ-001,Analysis,ACOGINT002,2025-06-17,292
PROJ-006,Development,ACOGINT001,2025-06-17,286
PROJ-001,Bug Fixing,ACOGINT003,2025-06-17,128
PROJ-002,Code Review,ACOGINT004,2025-06-17,117
PROJ-006,Meeting,ACOGINT005,2025-06-17,90
PROJ-004,Planning,ACOGINT001,2025-06-17,116
PROJ-007,Code Review,ACOGINT001,2025-06-17,103
PROJ-002,Design,ACOGINT004,2025-06-17,92
PROJ-003,Design,ACOGINT002,2025-06-17,105
PROJ-005,Testing,ACOGINT004,2025-06-17,57
PROJ-005,Testing,ACOGINT003,2025-06-17,146
PROJ-007,Meeting,ACOGINT004,2025-06-17,60
PROJ-006,Code Review,ACOGINT001,2025-06-17,33
PROJ-007,Meeting,ACOGINT002,2025-06-17,60
PROJ-005,Design,ACOGINT002,2025-06-17,130
PROJ-004,Bug Fixing,ACOGINT005,2025-06-18,61
PROJ-006,Design,ACOGINT002,2025-06-18,50
PROJ-003,Development,ACOGINT001,2025-06-18,260
PROJ-007,Code Review,ACOGINT004,2025-06-18,98
PROJ-002,Documentation,ACOGINT002,2025-06-18,73
PROJ-003,Testing,ACOGINT003,2025-06-18,62
PROJ-003,Documentation,ACOGINT001,2025-06-18,49
PROJ-007,Bug Fixing,ACOGINT004,2025-06-18,57
PROJ-004,Analysis,ACOGINT005,2025-06-18,225
PROJ-006,Planning,ACOGINT002,2025-06-18,64
PROJ-002,Code Review,ACOGINT005,2025-06-18,141
PROJ-003,Planning,ACOGINT005,2025-06-18,68
PROJ-001,Bug Fixing,ACOGINT005,2025-06-18,55
PROJ-001,Bug Fixing,ACOGINT004,2025-06-18,101
PROJ-005,Development,ACOGINT005,2025-06-18,56
PROJ-002,Testing,ACOGINT004,2025-06-18,50
PROJ-007,Bug Fixing,ACOGINT005,2025-06-19,104
PROJ-001,Documentation,ACOGINT005,2025-06-19,32
PROJ-001,Design,ACOGINT003,2025-06-19,64
PROJ-006,Bug Fixing,ACOGINT005,2025-06-19,36
PROJ-006,Analysis,ACOGINT003,2025-06-19,109
PROJ-001,Design,ACOGINT002,2025-06-19,134
PROJ-003,Testing,ACOGINT003,2025-06-19,110
PROJ-001,Design,ACOGINT001,2025-06-19,64
PROJ-005,Design,ACOGINT002,2025-06-19,55
PROJ-002,Testing,ACOGINT004,2025-06-19,164
PROJ-004,Bug Fixing,ACOGINT003,2025-06-19,146
PROJ-004,Bug Fixing,ACOGINT005,2025-06-20,125
PROJ-005,Development,ACOGINT005,2025-06-20,253
PROJ-003,Design,ACOGINT004,2025-06-20,122
PROJ-005,Code Review,ACOGINT004,2025-06-20,118
PROJ-005,Planning,ACOGINT005,2025-06-20,95
PROJ-004,Analysis,ACOGINT005,2025-06-20,185
PROJ-007,Bug Fixing,ACOGINT002,2025-06-20,57
PROJ-005,Code Review,ACOGINT005,2025-06-20,56
PROJ-006,Planning,ACOGINT005,2025-06-20,122
PROJ-003,Code Review,ACOGINT003,2025-06-20,137
PROJ-005,Documentation,ACOGINT001,2025-06-20,120
PROJ-003,Testing,ACOGINT003,2025-06-20,91
PROJ-005,Planning,ACOGINT005,2025-06-20,53
PROJ-007,Design,ACOGINT004,2025-06-20,54
PROJ-002,Development,ACOGINT005,2025-06-21,194
PROJ-005,Analysis,ACOGINT003,2025-06-21,118
PROJ-006,Analysis,ACOGINT004,2025-06-21,72
PROJ-005,Development,ACOGINT003,2025-06-21,237
PROJ-005,Planning,ACOGINT004,2025-06-21,65
PROJ-003,Development,ACOGINT003,2025-06-21,195
PROJ-003,Documentation,ACOGINT002,2025-06-21,75
PROJ-006,Meeting,ACOGINT003,2025-06-21,30
PROJ-007,Development,ACOGINT003,2025-06-21,78
PROJ-007,Meeting,ACOGINT001,2025-06-21,90
PROJ-006,Meeting,ACOGINT001,2025-06-21,30
PROJ-001,Design,ACOGINT002,2025-06-21,73
PROJ-003,Documentation,ACOGINT001,2025-06-21,58
PROJ-003,Documentation,ACOGINT002,2025-06-21,55
PROJ-001,Planning,ACOGINT005,2025-06-21,47
PROJ-007,Planning,ACOGINT001,2025-06-22,38
PROJ-002,Analysis,ACOGINT002,2025-06-22,199
PROJ-004,Planning,ACOGINT005,2025-06-22,44
PROJ-003,Documentation,ACOGINT001,2025-06-22,40
PROJ-002,Planning,ACOGINT002,2025-06-22,46
PROJ-003,Code Review,ACOGINT004,2025-06-22,32
PROJ-006,Analysis,ACOGINT002,2025-06-22,199
PROJ-003,Bug Fixing,ACOGINT004,2025-06-22,43
PROJ-005,Planning,ACOGINT004,2025-06-22,121
PROJ-001,Design,ACOGINT003,2025-06-22,110
PROJ-003,Analysis,ACOGINT001,2025-06-22,178
PROJ-004,Development,ACOGINT005,2025-06-22,180
PROJ-003,Code Review,ACOGINT001,2025-06-22,72
PROJ-005,Design,ACOGINT005,2025-06-22,130
PROJ-006,Analysis,ACOGINT002,2025-06-22,74
PROJ-007,Meeting,ACOGINT001,2025-06-23,60
PROJ-001,Testing,ACOGINT001,2025-06-23,97
PROJ-007,Meeting,ACOGINT004,2025-06-23,90
PROJ-007,Documentation,ACOGINT001,2025-06-23,41
PROJ-002,Design,ACOGINT002,2025-06-23,59
PROJ-004,Testing,ACOGINT001,2025-06-23,65
PROJ-006,Development,ACOGINT005,2025-06-23,82
PROJ-007,Testing,ACOGINT002,2025-06-23,134
PROJ-003,Meeting,ACOGINT002,2025-06-23,30
PROJ-001,Documentation,ACOGINT003,2025-06-23,62
PROJ-004,Planning,ACOGINT005,2025-06-23,35
PROJ-007,Code Review,ACOGINT005,2025-06-23,100
PROJ-002,Testing,ACOGINT001,2025-06-23,114
PROJ-005,Development,ACOGINT001,2025-06-23,286
PROJ-006,Documentation,ACOGINT004,2025-06-24,89
PROJ-004,Testing,ACOGINT002,2025-06-24,133
PROJ-003,Documentation,ACOGINT004,2025-06-24,128
PROJ-002,Design,ACOGINT001,2025-06-24,83
PROJ-006,Testing,ACOGINT004,2025-06-24,88
PROJ-005,Documentation,ACOGINT004,2025-06-24,47
PROJ-001,Bug Fixing,ACOGINT001,2025-06-24,129
PROJ-003,Documentation,ACOGINT001,2025-06-24,91
PROJ-004,Bug Fixing,ACOGINT003,2025-06-24,167
PROJ-007,Development,ACOGINT001,2025-06-24,120
PROJ-006,Design,ACOGINT004,2025-06-25,58
PROJ-001,Code Review,ACOGINT005,2025-06-25,123
PROJ-002,Code Review,ACOGINT005,2025-06-25,85
PROJ-007,Meeting,ACOGINT001,2025-06-25,120
PROJ-004,Development,ACOGINT004,2025-06-25,171
PROJ-003,Testing,ACOGINT005,2025-06-25,84
PROJ-006,Development,ACOGINT001,2025-06-25,227
PROJ-003,Development,ACOGINT003,2025-06-25,242
PROJ-006,Code Review,ACOGINT005,2025-06-25,104
PROJ-004,Testing,ACOGINT001,2025-06-25,110
PROJ-002,Design,ACOGINT001,2025-06-25,138
PROJ-003,Documentation,ACOGINT002,2025-06-25,79
PROJ-003,Planning,ACOGINT001,2025-06-25,119
PROJ-005,Development,ACOGINT005,2025-06-25,154
PROJ-002,Bug Fixing,ACOGINT005,2025-06-25,175
PROJ-004,Analysis,ACOGINT003,2025-06-26,165
PROJ-002,Testing,ACOGINT002,2025-06-26,93
PROJ-006,Analysis,ACOGINT005,2025-06-26,181
PROJ-001,Code Review,ACOGINT004,2025-06-26,140
PROJ-005,Testing,ACOGINT004,2025-06-26,118
PROJ-003,Meeting,ACOGINT004,2025-06-26,30
PROJ-007,Analysis,ACOGINT003,2025-06-26,208
PROJ-003,Development,ACOGINT003,2025-06-26,60
PROJ-007,Meeting,ACOGINT002,2025-06-26,90
PROJ-003,Testing,ACOGINT001,2025-06-26,170
PROJ-005,Bug Fixing,ACOGINT005,2025-06-27,68
PROJ-006,Testing,ACOGINT003,2025-06-27,111
